HomeTeam,AwayTeam,HomeGoals,AwayGoals
MCI,LEI,3.59139,1.01388
WAT,MUN,1.59291,1.5309
TOT,CHE,0.276667,1.49374
TOT,BHA,1.02645,1.09007
AVL,NOR,0.654194,1.45005
BOU,ARS,1.55463,1.42464
CHE,SOU,0.859973,0.981321
CRY,WHU,2.14195,0.796338
EVE,BUR,1.47521,0.565252
SHU,WAT,2.04481,0.596611
MUN,NEW,1.99638,1.05018
LEI,LIV,0.120994,3.76973
WOL,MCI,2.39405,1.52044
BHA,BOU,1.05876,0.500726
NEW,EVE,1.63211,2.82576
SOU,CRY,1.47937,0.137837
WAT,AVL,3.25314,0.610997
NOR,TOT,0.268052,1.82189
WHU,LEI,0.782104,2.62349
BUR,MUN,0.386662,2.10542
ARS,CHE,0.785214,1.49666
LIV,WOL,1.49124,0.363764
MCI,SHU,1.08628,1.23346
BHA,CHE,1.56858,1.57499
BUR,AVL,2.32566,1.58238
NEW,LEI,0.780118,1.9875
SOU,TOT,1.26986,1.06851
WAT,WOL,1.16774,1.20577
WHU,BOU,2.09757,0.717237
MCI,EVE,1.7838,0.83946
NOR,CRY,1.54749,1.43864
ARS,MUN,1.84614,0.716184
LIV,SHU,3.26791,0.634607
SHU,WHU,2.14258,0.861865
CRY,ARS,0.31381,1.0214
WOL,NEW,2.06207,0.18499
CHE,BUR,2.89177,0.443899
EVE,BHA,1.53381,1.53975
LEI,SOU,0.74791,2.20337
MUN,NOR,3.13456,0.275987
TOT,LIV,1.10019,1.77548
BOU,WAT,0.319999,2.29861
AVL,MCI,1.1065,3.39105
WAT,TOT,2.15234,1.84613
ARS,SHU,1.22902,0.920314
MCI,CRY,2.46283,0.586726
BHA,AVL,1.20493,0.56107
NOR,BOU,1.73629,0.554883
SOU,WOL,0.799986,2.25532
WHU,EVE,1.61437,1.33679
NEW,CHE,0.836687,1.81222
BUR,LEI,1.19881,2.06812
LIV,MUN,2.00659,1.4185
AVL,WAT,1.04009,1.84424
SHU,MCI,0.784033,2.87418
EVE,NEW,2.05191,0.598322
BOU,BHA,1.93757,1.96495
CRY,SOU,0.674618,1.13377
