ARS,AVL,BOU,BHA,BUR,CHE,CRY,EVE,LEI,LIV,MCI,MUN,NEW,NOR,SHU,SOU,TOT,WAT,WHU,WOL
636,569,531,612,686,669,626,687,617,876,740,688,702,497,685,506,711,699,554,615
652,458,544,511,590,588,623,525,609,844,713,607,542,585,695,658,628,578,558,638
