ARS (H),ARS (A),AVL (H),AVL (A),BOU (H),BOU (A),BHA (H),BHA (A),BUR (H),BUR (A),CHE (H),CHE (A),CRY (H),CRY (A),EVE (H),EVE (A),LEI (H),LEI (A),LIV (H),LIV (A),MCI (H),MCI (A),MUN (H),MUN (A),NEW (H),NEW (A),NOR (H),NOR (A),SHU (H),SHU (A),SOU (H),SOU (A),TOT (H),TOT (A),WAT (H),WAT (A),WHU (H),WHU (A),WOL (H),WOL (A)
700,800,500,600,500,600,500,600,500,600,700,800,600,700,550,650,600,700,900,1000,900,1000,700,800,500,600,450,550,500,600,500,600,750,850,500,600,500,600,600,700
750,850,500,600,500,600,500,600,500,600,750,850,600,700,550,650,600,700,1000,1100,1000,1100,750,850,500,600,450,550,500,600,500,600,850,950,500,600,500,600,600,700
