Xherdan Shaqiri,LIV,1,0
Andreas Pereira,MUN,1,3
Tyrone Mings,AVL,1,2
Tom Davies,EVE,1,0
Felipe Anderson,WHU,1,4
Lucas Torreira,ARS,1,1
Dennis Praet,LEI,1,2
Moise Kean,EVE,1,2
Adam Masina,WAT,1,0
Marcos Alonso,CHE,1,2
Michael Keane,EVE,1,0
Johann Berg Gudmundsson,BUR,1,0
James Tarkowski,BUR,1,1
Michy Batshuayi,CHE,1,1
Ryan Fraser,BOU,1,3
Andrew Robertson,LIV,1,6
Jack Stephens,SOU,1,3
Mateo Kovacic,CHE,1,3
Jonny,WOL,1,1
Pablo Fornals,WHU,1,3
Fabinho,LIV,1,1
João Moutinho,WOL,1,6
Florin Andone,BHA,1,0
Callum Robinson,SHU,1,1
Naby Keita,LIV,1,1
Caglar Söyüncü,LEI,1,1
Philip Billing,BOU,1,1
Jan Bednarek,SOU,1,0
Shane Duffy,BHA,1,0
Davy Pröpper,BHA,1,2
Isaac Hayden,NEW,1,1
Victor Lindelöf,MUN,1,0
Will Hughes,WAT,1,1
Hamza Choudhury,LEI,1,1
Callum Hudson-Odoi,CHE,1,4
Michael Obafemi,SOU,1,0
Dwight McNeil,BUR,1,4
Fabián Balbuena,WHU,1,0
Chris Mepham,BOU,1,0
Kenny McLean,NOR,1,1
Onel Hernández,NOR,1,1
Enda Stevens,SHU,1,2
Oliver Norwood,SHU,1,0
Billy Sharp,SHU,1,0
Ezri Konsa Ngoyo,AVL,1,1
Dennis Srbeny,NOR,1,0
Brandon Williams,MUN,1,0
Mbwana Samatta,AVL,1,0
Steven Bergwijn,TOT,1,0
Yoshinori Muto,NEW,0,0
Lukas Rupp,NOR,0,0
Bernd Leno,ARS,0,0
Andreas Christensen,CHE,0,0
Granit Xhaka,ARS,0,1
Ørjan Nyland,AVL,0,0
Henrikh Mkhitaryan,ARS,0,0
Ralf Fährmann,NOR,0,0
Max Meyer,CRY,0,0
Sead Kolasinac,ARS,0,2
Pierre-Emile Højbjerg,SOU,0,1
Simon Francis,BOU,0,0
Charlie Daniels,BOU,0,0
Andrew Surman,BOU,0,0
Matt Ritchie,NEW,0,0
Junior Stanislas,BOU,0,0
Jordon Ibe,BOU,0,0
Mamadou Sakho,CRY,0,0
Nacho Monreal,ARS,0,0
Mesut Özil,ARS,0,1
Danny Welbeck,WAT,0,0
Olivier Giroud,CHE,0,0
Wayne Hennessey,CRY,0,0
Joel Ward,CRY,0,0
Scott Dann,CRY,0,1
Adrian Mariappa,WAT,0,0
Martin Kelly,CRY,0,1
Adrián,LIV,0,0
Manuel Lanzini,WHU,0,2
Andy Carroll,NEW,0,3
Darren Randolph,WHU,0,0
David de Gea,MUN,0,0
Marcos Rojo,MUN,0,0
Morgan Schneiderlin,EVE,0,0
Juan Mata,MUN,0,2
Jesse Lingard,MUN,0,0
Sebastian Prödl,WAT,0,0
José Holebas,WAT,0,0
Etienne Capoue,WAT,0,1
Craig Cathcart,WAT,0,0
Seamus Coleman,EVE,0,1
John Stones,MCI,0,0
Phil Jagielka,SHU,0,0
Leighton Baines,EVE,0,0
James McCarthy,CRY,0,0
Ross Barkley,CHE,0,0
Aaron Lennon,BUR,0,0
Oumar Niasse,EVE,0,0
Dejan Lovren,LIV,0,1
Christian Benteke,CRY,0,0
Pablo Zabaleta,WHU,0,0
Fernandinho,MCI,0,0
Willy Caballero,CHE,0,0
Ashley Young,MUN,0,0
