ARS,AVL,BOU,BHA,BUR,CHE,CRY,EVE,LEI,LIV,MCI,MUN,NEW,NOR,SHU,SOU,TOT,WAT,WHU,WOL
3.29,2.58,2.29,2.97,2.46,3.14,3.08,3.25,3.35,5.29,4.64,3.89,2.94,2.32,2.88,2.56,3.73,2.96,2.53,3.22
2.99,2.31,2.16,2.44,2.28,3.7,2.75,2.59,3.75,4.87,4.2,2.86,2.46,1.9,3.05,3.29,3.02,2.45,2.34,3.03
