ARS,AVL,BOU,BHA,BUR,CHE,CRY,EVE,LEI,LIV,MCI,MUN,NEW,NOR,SHU,SOU,TOT,WAT,WHU,WOL
NEW (H),TOT (H),SHU (A),WAT (H),SOU (A),MUN (H),EVE (A),CRY (H),WOL (A),NOR (A),WHU (H),CHE (A),ARS (A),LIV (H),BOU (H),BUR (H),AVL (A),BHA (A),MCI (A),LEI (H)
EVE (H),SOU (A),BUR (A),SHU (A),BOU (H),TOT (H),NEW (H),ARS (A),MCI (H),WHU (H),LEI (A),WAT (H),CRY (A),WOL (A),BHA (H),AVL (H),CHE (A),MUN (A),LIV (A),NOR (H)
None,None,CHE (H),CRY (H),NEW (A),BOU (A),BHA (A),MUN (H),NOR (A),WAT (A),None,EVE (A),BUR (H),LEI (H),None,WHU (A),WOL (H),LIV (H),SOU (H),TOT (A)
WHU (H),LEI (A),LIV (A),WOL (A),TOT (H),EVE (H),WAT (H),CHE (A),AVL (H),BOU (H),MUN (A),MCI (H),SOU (A),SHU (A),NOR (H),NEW (H),BUR (A),CRY (A),ARS (A),BHA (H)
BHA (A),CHE (H),CRY (H),ARS (H),MCI (A),AVL (A),BOU (A),LIV (H),WAT (A),EVE (A),BUR (H),TOT (A),SHU (H),SOU (H),NEW (A),NOR (A),MUN (H),LEI (H),WOL (H),WHU (A)
SOU (A),NEW (A),WOL (A),LEI (A),WAT (H),MCI (H),LIV (A),NOR (A),BHA (H),CRY (H),CHE (A),SHU (H),AVL (H),EVE (H),MUN (A),ARS (H),WHU (H),BUR (A),TOT (A),BOU (H)
NOR (H),WOL (H),NEW (H),MUN (H),CRY (A),WHU (A),BUR (H),LEI (H),EVE (A),MCI (A),LIV (H),BHA (A),BOU (A),ARS (A),TOT (H),WAT (A),SHU (A),SOU (H),CHE (H),AVL (A)
WOL (A),LIV (A),MUN (A),NOR (A),SHU (H),WAT (H),LEI (A),TOT (A),CRY (H),AVL (H),SOU (A),BOU (H),WHU (H),BHA (H),BUR (A),MCI (H),EVE (H),CHE (A),NEW (A),ARS (H)
LEI (H),MUN (H),TOT (H),LIV (H),WHU (A),CRY (A),CHE (H),SOU (H),ARS (A),BHA (A),NEW (H),AVL (A),MCI (A),WAT (A),WOL (H),EVE (A),BOU (A),NOR (H),BUR (H),SHU (A)
TOT (A),CRY (H),LEI (H),MCI (H),LIV (A),SHU (A),AVL (A),WOL (A),BOU (A),BUR (H),BHA (A),SOU (H),WAT (A),WHU (H),CHE (H),MUN (A),ARS (H),NEW (H),NOR (A),EVE (H)
LIV (H),EVE (A),MCI (A),SOU (A),WOL (H),NOR (H),MUN (H),AVL (H),SHU (H),ARS (A),BOU (H),CRY (A),TOT (H),CHE (A),LEI (A),BHA (H),NEW (A),WHU (A),WAT (H),BUR (A)
AVL (A),ARS (H),SOU (H),NEW (H),NOR (A),LIV (A),WOL (A),SHU (A),TOT (A),CHE (H),WAT (A),WHU (H),BHA (A),BUR (H),EVE (H),BOU (A),LEI (H),MCI (H),MUN (A),CRY (H)
WAT (H),WHU (A),EVE (A),BUR (A),BHA (H),WOL (H),TOT (H),BOU (H),MUN (H),NEW (A),NOR (H),LEI (A),LIV (H),MCI (A),SOU (A),SHU (H),CRY (A),ARS (A),AVL (H),CHE (A)
